emisor,anio,ingresos,utilidad_operacional,dya,intereses,utilidad_neta,deuda,caja,activos,activo_corriente,pasivo_corriente,patrimonio,flujo_operativo,deuda_corto_plazo,intereses_pagados,impuestos_pagados,capex,dividendos_pagados,utilidades_retenidas,goodwill,intangibles,pasivo_total,activos_tangibles
EPM,2023,37.14,7.76,1.87,3.27,3.56,27.88,3.24,77.24,15.08,14.05,31.32,3.84,4.75,2.95,1.88,5.64,1.84,21.4867,2.9771,3.8241,45.9195,70.4388
EPM,2024,39.62,9.15,2.03,3.51,4.91,31.86,2.82,83.44,15.31,12.41,34.12,5.82,2.68,3.19,2.03,5.82,2.19,22.2852,2.9427,4.3419,49.3196,76.1554
EPM,2025,38.12,10.28,2.08,3.53,5.34,32.22,4.34,87.23,17.03,12.88,36.69,6.44,4.28,3.22,2.12,5.53,2.84,24.0512,2.6658,4.1749,50.5401,80.3893
ISA,2015,5.27,2.28,0.52,0.95,1.04,10.92,1.03,28.11,4.25,3.23,11.39,2.78,1.54,0.74,0.5,1.74,0.3,4.1822,0.4062,5.0448,16.7198,22.659
ISA,2016,12.14,8.27,0.54,1.47,5.02,12.47,1.17,38.52,5.67,3.66,16.91,2.19,1.67,0.88,0.08,2.36,0.32,3.2329,0.4822,5.6977,21.6047,32.34010000000001
ISA,2017,6.95,3.99,0.56,1.02,2.34,15.69,1.53,43.41,6.42,3.11,18.42,2.9,1.6,0.68,0.92,2.27,0.86,3.2281,0.3711,6.0533,24.985,36.9856
ISA,2018,7.17,4.03,0.65,1.2,2.6,17.19,1.52,44.96,6.77,2.95,18.94,3.23,1.75,0.98,1.15,2.21,1.86,3.2172,0.2812,6.5461,26.0221,38.1327
ISA,2019,8.14,4.53,0.72,1.49,2.76,17.76,2.49,48.79,9.45,3.68,21.1,4.42,1.7,1.16,0.98,2.23,1.17,3.2125,0.229,6.8274,27.69,41.7336
ISA,2020,9.11,5.69,0.86,1.54,3.76,22.47,3.78,54.03,9.71,3.4,20.15,2.91,1.27,1.33,0.91,2.98,1.25,3.2077,0.6608,7.4522,33.8835,45.917
ISA,2021,11.12,6.09,0.9,2.1,3.2,27.94,4.69,61.7,10.67,4.97,22.13,3.69,2.87,1.05,0.7,1.63,3.04,3.2039,0.3742,9.8726,39.5652,51.4532
ISA,2022,13.36,6.76,1.01,2.38,3.68,34.17,5.37,78.73,13.72,5.36,29.55,4.04,2.08,1.92,0.59,1.83,1.0,3.2109,0.4035,12.3332,49.1835,65.9933
ISA,2023,14.17,7.07,1.06,2.42,4.3,30.99,4.07,71.22,12.41,5.31,26.37,3.87,2.48,2.16,0.75,2.05,2.5,3.2219,0.3499,9.8873,44.8508,60.9828
ISA,2024,14.93,7.87,1.03,2.26,4.93,34.31,5.92,77.0,13.54,5.62,28.27,3.56,2.49,2.02,0.58,1.58,2.06,3.2306,0.6523,10.7765,48.7273,65.5712
ISA,2025,15.92,6.84,1.08,2.51,3.91,33.79,4.47,76.13,11.72,4.59,28.31,2.55,1.75,2.25,0.81,1.71,2.33,3.2372,0.5976,9.2495,47.8233,66.2829
ISAGEN,2015,2.84,0.97,0.24,0.52,0.3,3.74,0.36,8.91,0.98,0.68,3.46,0.69,0.31,0.32,0.08,0.3,0.48,1.2829,0.0,0.0735,5.4508,8.836500000000001
ISAGEN,2016,2.75,0.61,0.24,0.4,0.14,3.68,0.4,8.3,0.96,0.47,3.59,0.2,0.28,0.43,0.11,0.13,0.0,1.2829,0.0,0.07,4.706,8.23
ISAGEN,2017,2.35,0.94,0.16,0.42,0.35,3.45,0.16,19.24,0.62,0.57,5.49,0.81,0.32,0.34,0.08,0.08,0.52,1.2683,2.6894,0.0713,13.759,16.4793
ISAGEN,2018,2.65,1.29,0.2,1.05,0.45,4.44,0.09,18.99,0.65,0.97,5.91,0.29,0.7,1.03,0.09,0.07,0.0,1.2683,2.6894,0.0761,13.0779,16.2245
ISAGEN,2019,3.18,1.67,0.23,0.98,0.5,5.52,0.14,18.86,0.73,0.44,5.49,0.78,0.17,0.94,0.1,0.05,0.9,1.2683,2.6894,0.0834,13.3698,16.0872
ISAGEN,2020,3.21,1.57,0.23,0.82,0.5,6.02,0.08,18.63,0.64,0.43,5.96,0.77,0.18,0.83,0.1,0.07,0.0,1.2683,2.6894,0.0854,12.6702,15.8552
ISAGEN,2021,3.48,2.01,0.24,0.73,0.52,7.37,0.17,21.12,0.99,0.52,5.68,1.38,0.23,0.7,0.12,2.28,0.92,1.2683,2.6894,0.0944,15.4422,18.3362
ISAGEN,2022,4.82,2.97,0.26,1.32,1.23,10.52,0.31,23.81,1.43,1.33,5.56,1.97,0.74,1.23,0.17,0.41,1.44,1.2683,2.6894,0.0661,18.2437,21.0545
ISAGEN,2023,5.52,2.9,0.28,1.87,1.04,10.42,0.2,23.58,1.25,1.21,5.43,1.39,0.75,1.78,0.46,0.37,1.03,1.2683,2.6894,0.0712,18.1497,20.819399999999998
ISAGEN,2024,6.1,2.74,0.29,1.84,0.9,10.9,0.45,24.29,1.37,1.21,5.56,1.26,0.75,1.87,0.33,0.09,0.76,1.2684,2.6894,0.0801,18.7317,21.5205
ISAGEN,2025,5.23,2.87,0.32,1.84,0.88,11.63,0.17,25.99,2.49,1.71,5.92,1.16,0.89,1.81,0.27,0.1,0.49,1.2684,2.6894,0.0967,20.0665,23.2039
